"Step","hidden_size_512_4_no_pinn - loss","hidden_size_512_4_no_pinn - loss__MIN","hidden_size_512_4_no_pinn - loss__MAX"
"0","1.266594648361206","1.266594648361206","1.266594648361206"
"1","0.9554110765457153","0.9554110765457153","0.9554110765457153"
"2","0.7146021127700806","0.7146021127700806","0.7146021127700806"
"3","0.5404001474380493","0.5404001474380493","0.5404001474380493"
"4","0.42246299982070923","0.42246299982070923","0.42246299982070923"
"5","0.3446098864078522","0.3446098864078522","0.3446098864078522"
"6","0.2904115319252014","0.2904115319252014","0.2904115319252014"
"7","0.24938303232192993","0.24938303232192993","0.24938303232192993"
"8","0.2163909375667572","0.2163909375667572","0.2163909375667572"
"9","0.18990468978881836","0.18990468978881836","0.18990468978881836"
"10","0.16880320012569427","0.16880320012569427","0.16880320012569427"
"11","0.15178616344928741","0.15178616344928741","0.15178616344928741"
"12","0.13766567409038544","0.13766567409038544","0.13766567409038544"
"13","0.12566979229450226","0.12566979229450226","0.12566979229450226"
"14","0.1153094694018364","0.1153094694018364","0.1153094694018364"
"15","0.1061897724866867","0.1061897724866867","0.1061897724866867"
"16","0.0979011133313179","0.0979011133313179","0.0979011133313179"
"17","0.09006115794181824","0.09006115794181824","0.09006115794181824"
"18","0.08251136541366577","0.08251136541366577","0.08251136541366577"
"19","0.07539235055446625","0.07539235055446625","0.07539235055446625"
"20","0.06899356842041016","0.06899356842041016","0.06899356842041016"
"21","0.06354738771915436","0.06354738771915436","0.06354738771915436"
"22","0.059098295867443085","0.059098295867443085","0.059098295867443085"
"23","0.05549271032214165","0.05549271032214165","0.05549271032214165"
"24","0.05246947705745697","0.05246947705745697","0.05246947705745697"
"25","0.049792781472206116","0.049792781472206116","0.049792781472206116"
"26","0.0473419651389122","0.0473419651389122","0.0473419651389122"
"27","0.04510209709405899","0.04510209709405899","0.04510209709405899"
"28","0.04309486225247383","0.04309486225247383","0.04309486225247383"
"29","0.04131927713751793","0.04131927713751793","0.04131927713751793"
"30","0.039733562618494034","0.039733562618494034","0.039733562618494034"
"31","0.038272302597761154","0.038272302597761154","0.038272302597761154"
"32","0.036881305277347565","0.036881305277347565","0.036881305277347565"
"33","0.035542309284210205","0.035542309284210205","0.035542309284210205"
"34","0.03426824137568474","0.03426824137568474","0.03426824137568474"
"35","0.033079326152801514","0.033079326152801514","0.033079326152801514"
"36","0.03197961300611496","0.03197961300611496","0.03197961300611496"
"37","0.03094686195254326","0.03094686195254326","0.03094686195254326"
"38","0.029948417097330093","0.029948417097330093","0.029948417097330093"
"39","0.028975222259759903","0.028975222259759903","0.028975222259759903"
"40","0.02805352956056595","0.02805352956056595","0.02805352956056595"
"41","0.02721264585852623","0.02721264585852623","0.02721264585852623"
"42","0.026446282863616943","0.026446282863616943","0.026446282863616943"
"43","0.025715835392475128","0.025715835392475128","0.025715835392475128"
"44","0.024987656623125076","0.024987656623125076","0.024987656623125076"
"45","0.0242576003074646","0.0242576003074646","0.0242576003074646"
"46","0.02354476973414421","0.02354476973414421","0.02354476973414421"
"47","0.022871188819408417","0.022871188819408417","0.022871188819408417"
"48","0.022244073450565338","0.022244073450565338","0.022244073450565338"
"49","0.021652041003108025","0.021652041003108025","0.021652041003108025"
"50","0.021078623831272125","0.021078623831272125","0.021078623831272125"
"51","0.020517412573099136","0.020517412573099136","0.020517412573099136"
"52","0.01997245103120804","0.01997245103120804","0.01997245103120804"
"53","0.01944948174059391","0.01944948174059391","0.01944948174059391"
"54","0.018952518701553345","0.018952518701553345","0.018952518701553345"
"55","0.018486052751541138","0.018486052751541138","0.018486052751541138"
"56","0.0180538110435009","0.0180538110435009","0.0180538110435009"
"57","0.017653606832027435","0.017653606832027435","0.017653606832027435"
"58","0.0172751322388649","0.0172751322388649","0.0172751322388649"
"59","0.01690485142171383","0.01690485142171383","0.01690485142171383"
"60","0.016535276547074318","0.016535276547074318","0.016535276547074318"
"61","0.016169514507055283","0.016169514507055283","0.016169514507055283"
"62","0.01581518165767193","0.01581518165767193","0.01581518165767193"
"63","0.015474477782845497","0.015474477782845497","0.015474477782845497"
"64","0.015142107382416725","0.015142107382416725","0.015142107382416725"
"65","0.014812033623456955","0.014812033623456955","0.014812033623456955"
