"Step","hidden_size_512_25_pinn - loss","hidden_size_512_25_pinn - loss__MIN","hidden_size_512_25_pinn - loss__MAX"
"0","1.2631945610046387","1.2631945610046387","1.2631945610046387"
"1","0.9546414017677307","0.9546414017677307","0.9546414017677307"
"2","0.7226163744926453","0.7226163744926453","0.7226163744926453"
"3","0.5596822500228882","0.5596822500228882","0.5596822500228882"
"4","0.44955822825431824","0.44955822825431824","0.44955822825431824"
"5","0.372775137424469","0.372775137424469","0.372775137424469"
"6","0.31527993083000183","0.31527993083000183","0.31527993083000183"
"7","0.26925885677337646","0.26925885677337646","0.26925885677337646"
"8","0.23081564903259277","0.23081564903259277","0.23081564903259277"
"9","0.19935697317123413","0.19935697317123413","0.19935697317123413"
"10","0.17526932060718536","0.17526932060718536","0.17526932060718536"
"11","0.15753674507141113","0.15753674507141113","0.15753674507141113"
"12","0.1439180076122284","0.1439180076122284","0.1439180076122284"
"13","0.13225795328617096","0.13225795328617096","0.13225795328617096"
"14","0.12141285836696625","0.12141285836696625","0.12141285836696625"
"15","0.11126150190830231","0.11126150190830231","0.11126150190830231"
"16","0.10217996686697006","0.10217996686697006","0.10217996686697006"
"17","0.0944938063621521","0.0944938063621521","0.0944938063621521"
"18","0.0881575271487236","0.0881575271487236","0.0881575271487236"
"19","0.0829039141535759","0.0829039141535759","0.0829039141535759"
"20","0.0784691870212555","0.0784691870212555","0.0784691870212555"
"21","0.07465663552284241","0.07465663552284241","0.07465663552284241"
"22","0.07127536088228226","0.07127536088228226","0.07127536088228226"
"23","0.06816384196281433","0.06816384196281433","0.06816384196281433"
"24","0.06524624675512314","0.06524624675512314","0.06524624675512314"
"25","0.06253368407487869","0.06253368407487869","0.06253368407487869"
"26","0.060065675526857376","0.060065675526857376","0.060065675526857376"
"27","0.057859502732753754","0.057859502732753754","0.057859502732753754"
"28","0.05590277537703514","0.05590277537703514","0.05590277537703514"
"29","0.05418474227190018","0.05418474227190018","0.05418474227190018"
"30","0.0526832640171051","0.0526832640171051","0.0526832640171051"
"31","0.051323048770427704","0.051323048770427704","0.051323048770427704"
"32","0.050037115812301636","0.050037115812301636","0.050037115812301636"
"33","0.04879392310976982","0.04879392310976982","0.04879392310976982"
"34","0.04759025201201439","0.04759025201201439","0.04759025201201439"
"35","0.046447377651929855","0.046447377651929855","0.046447377651929855"
"36","0.04539213329553604","0.04539213329553604","0.04539213329553604"
"37","0.04443281516432762","0.04443281516432762","0.04443281516432762"
"38","0.043562959879636765","0.043562959879636765","0.043562959879636765"
"39","0.042765140533447266","0.042765140533447266","0.042765140533447266"
"40","0.042015694081783295","0.042015694081783295","0.042015694081783295"
"41","0.04131458327174187","0.04131458327174187","0.04131458327174187"
"42","0.040655866265296936","0.040655866265296936","0.040655866265296936"
"43","0.040029384195804596","0.040029384195804596","0.040029384195804596"
"44","0.03942866995930672","0.03942866995930672","0.03942866995930672"
