"Step","hidden_size_512_16_no_pinn - loss","hidden_size_512_16_no_pinn - loss__MIN","hidden_size_512_16_no_pinn - loss__MAX"
"0","1.273255705833435","1.273255705833435","1.273255705833435"
"1","0.9745976328849792","0.9745976328849792","0.9745976328849792"
"2","0.7427185773849487","0.7427185773849487","0.7427185773849487"
"3","0.5730200409889221","0.5730200409889221","0.5730200409889221"
"4","0.45417869091033936","0.45417869091033936","0.45417869091033936"
"5","0.3716558814048767","0.3716558814048767","0.3716558814048767"
"6","0.31222885847091675","0.31222885847091675","0.31222885847091675"
"7","0.2663358747959137","0.2663358747959137","0.2663358747959137"
"8","0.2292710393667221","0.2292710393667221","0.2292710393667221"
"9","0.20031875371932983","0.20031875371932983","0.20031875371932983"
"10","0.17852237820625305","0.17852237820625305","0.17852237820625305"
"11","0.1619456708431244","0.1619456708431244","0.1619456708431244"
"12","0.14847427606582642","0.14847427606582642","0.14847427606582642"
"13","0.13647472858428955","0.13647472858428955","0.13647472858428955"
"14","0.12517134845256805","0.12517134845256805","0.12517134845256805"
"15","0.11454708874225616","0.11454708874225616","0.11454708874225616"
"16","0.1048724353313446","0.1048724353313446","0.1048724353313446"
"17","0.0963270515203476","0.0963270515203476","0.0963270515203476"
"18","0.0889824703335762","0.0889824703335762","0.0889824703335762"
"19","0.08292090892791748","0.08292090892791748","0.08292090892791748"
"20","0.07815766334533691","0.07815766334533691","0.07815766334533691"
"21","0.07444686442613602","0.07444686442613602","0.07444686442613602"
"22","0.071327805519104","0.071327805519104","0.071327805519104"
"23","0.06840453296899796","0.06840453296899796","0.06840453296899796"
"24","0.0655217319726944","0.0655217319726944","0.0655217319726944"
"25","0.06269132345914841","0.06269132345914841","0.06269132345914841"
"26","0.05995626002550125","0.05995626002550125","0.05995626002550125"
"27","0.05737113207578659","0.05737113207578659","0.05737113207578659"
"28","0.05502758175134659","0.05502758175134659","0.05502758175134659"
"29","0.05300650745630264","0.05300650745630264","0.05300650745630264"
"30","0.0513063445687294","0.0513063445687294","0.0513063445687294"
"31","0.0498553067445755","0.0498553067445755","0.0498553067445755"
"32","0.04857999458909035","0.04857999458909035","0.04857999458909035"
"33","0.04744000360369682","0.04744000360369682","0.04744000360369682"
"34","0.04641835764050484","0.04641835764050484","0.04641835764050484"
"35","0.0455005019903183","0.0455005019903183","0.0455005019903183"
"36","0.044657252728939056","0.044657252728939056","0.044657252728939056"
"37","0.043844323605298996","0.043844323605298996","0.043844323605298996"
"38","0.04302571713924408","0.04302571713924408","0.04302571713924408"
"39","0.042199984192848206","0.042199984192848206","0.042199984192848206"
"40","0.04139360040426254","0.04139360040426254","0.04139360040426254"
"41","0.04062657430768013","0.04062657430768013","0.04062657430768013"
"42","0.03989484906196594","0.03989484906196594","0.03989484906196594"
"43","0.03918512538075447","0.03918512538075447","0.03918512538075447"
"44","0.0384945385158062","0.0384945385158062","0.0384945385158062"
"45","0.037834592163562775","0.037834592163562775","0.037834592163562775"
"46","0.037223316729068756","0.037223316729068756","0.037223316729068756"
"47","0.03667213022708893","0.03667213022708893","0.03667213022708893"
"48","0.03617402911186218","0.03617402911186218","0.03617402911186218"
"49","0.03570731729269028","0.03570731729269028","0.03570731729269028"
"50","0.0352548211812973","0.0352548211812973","0.0352548211812973"
"51","0.03481580317020416","0.03481580317020416","0.03481580317020416"
"52","0.03439834713935852","0.03439834713935852","0.03439834713935852"
"53","0.034006692469120026","0.034006692469120026","0.034006692469120026"
"54","0.03363730013370514","0.03363730013370514","0.03363730013370514"
"55","0.03328310698270798","0.03328310698270798","0.03328310698270798"
"56","0.032940760254859924","0.032940760254859924","0.032940760254859924"
"57","0.03261341154575348","0.03261341154575348","0.03261341154575348"
"58","0.032305262982845306","0.032305262982845306","0.032305262982845306"
"59","0.032015591859817505","0.032015591859817505","0.032015591859817505"
"60","0.0317409485578537","0.0317409485578537","0.0317409485578537"
"61","0.03147963434457779","0.03147963434457779","0.03147963434457779"
"62","0.031230490654706955","0.031230490654706955","0.031230490654706955"
"63","0.030990444123744965","0.030990444123744965","0.030990444123744965"
"64","0.030756119638681412","0.030756119638681412","0.030756119638681412"
"65","0.030526291579008102","0.030526291579008102","0.030526291579008102"
"66","0.030301503837108612","0.030301503837108612","0.030301503837108612"
"67","0.030082864686846733","0.030082864686846733","0.030082864686846733"
"68","0.029870817437767982","0.029870817437767982","0.029870817437767982"
"69","0.02966432273387909","0.02966432273387909","0.02966432273387909"
"70","0.02946171909570694","0.02946171909570694","0.02946171909570694"
"71","0.029262330383062363","0.029262330383062363","0.029262330383062363"
"72","0.02906649373471737","0.02906649373471737","0.02906649373471737"
"73","0.02887479029595852","0.02887479029595852","0.02887479029595852"
"74","0.02868787571787834","0.02868787571787834","0.02868787571787834"
"75","0.02850622683763504","0.02850622683763504","0.02850622683763504"
"76","0.02832966484129429","0.02832966484129429","0.02832966484129429"
"77","0.02815736085176468","0.02815736085176468","0.02815736085176468"
"78","0.027988344430923462","0.027988344430923462","0.027988344430923462"
"79","0.027822129428386688","0.027822129428386688","0.027822129428386688"
"80","0.02765914797782898","0.02765914797782898","0.02765914797782898"
"81","0.02750004455447197","0.02750004455447197","0.02750004455447197"
"82","0.027344565838575363","0.027344565838575363","0.027344565838575363"
"83","0.027191901579499245","0.027191901579499245","0.027191901579499245"
