"Step","hidden_size_512_16_pinn - loss","hidden_size_512_16_pinn - loss__MIN","hidden_size_512_16_pinn - loss__MAX"
"0","1.331986904144287","1.331986904144287","1.331986904144287"
"1","1.0032505989074707","1.0032505989074707","1.0032505989074707"
"2","0.7516079545021057","0.7516079545021057","0.7516079545021057"
"3","0.5703853368759155","0.5703853368759155","0.5703853368759155"
"4","0.4520248770713806","0.4520248770713806","0.4520248770713806"
"5","0.3746708333492279","0.3746708333492279","0.3746708333492279"
"6","0.31782740354537964","0.31782740354537964","0.31782740354537964"
"7","0.2729066014289856","0.2729066014289856","0.2729066014289856"
"8","0.23652540147304535","0.23652540147304535","0.23652540147304535"
"9","0.20564348995685577","0.20564348995685577","0.20564348995685577"
"10","0.18211647868156433","0.18211647868156433","0.18211647868156433"
"11","0.16220052540302277","0.16220052540302277","0.16220052540302277"
"12","0.14555153250694275","0.14555153250694275","0.14555153250694275"
"13","0.13073094189167023","0.13073094189167023","0.13073094189167023"
"14","0.11955557763576508","0.11955557763576508","0.11955557763576508"
"15","0.10888896137475967","0.10888896137475967","0.10888896137475967"
"16","0.10090184211730957","0.10090184211730957","0.10090184211730957"
"17","0.0951882004737854","0.0951882004737854","0.0951882004737854"
"18","0.0901373028755188","0.0901373028755188","0.0901373028755188"
"19","0.08557979017496109","0.08557979017496109","0.08557979017496109"
"20","0.08096802234649658","0.08096802234649658","0.08096802234649658"
"21","0.07616502046585083","0.07616502046585083","0.07616502046585083"
"22","0.07116212695837021","0.07116212695837021","0.07116212695837021"
"23","0.06706789880990982","0.06706789880990982","0.06706789880990982"
"24","0.0631469190120697","0.0631469190120697","0.0631469190120697"
"25","0.060255538672208786","0.060255538672208786","0.060255538672208786"
"26","0.05786122754216194","0.05786122754216194","0.05786122754216194"
"27","0.05626995861530304","0.05626995861530304","0.05626995861530304"
"28","0.05423605069518089","0.05423605069518089","0.05423605069518089"
"29","0.05287530645728111","0.05287530645728111","0.05287530645728111"
"30","0.05151228606700897","0.05151228606700897","0.05151228606700897"
"31","0.05017725005745888","0.05017725005745888","0.05017725005745888"
"32","0.049081750214099884","0.049081750214099884","0.049081750214099884"
"33","0.04752018302679062","0.04752018302679062","0.04752018302679062"
"34","0.04644423723220825","0.04644423723220825","0.04644423723220825"
"35","0.045244429260492325","0.045244429260492325","0.045244429260492325"
"36","0.044053152203559875","0.044053152203559875","0.044053152203559875"
"37","0.043036703020334244","0.043036703020334244","0.043036703020334244"
"38","0.042184244841337204","0.042184244841337204","0.042184244841337204"
"39","0.04128633439540863","0.04128633439540863","0.04128633439540863"
"40","0.040636420249938965","0.040636420249938965","0.040636420249938965"
"41","0.040033385157585144","0.040033385157585144","0.040033385157585144"
"42","0.03928874060511589","0.03928874060511589","0.03928874060511589"
"43","0.03876559063792229","0.03876559063792229","0.03876559063792229"
"44","0.0380246527493","0.0380246527493","0.0380246527493"
"45","0.03740035742521286","0.03740035742521286","0.03740035742521286"
"46","0.03698432818055153","0.03698432818055153","0.03698432818055153"
"47","0.03623497113585472","0.03623497113585472","0.03623497113585472"
"48","0.03576742857694626","0.03576742857694626","0.03576742857694626"
"49","0.035320695489645004","0.035320695489645004","0.035320695489645004"
"50","0.03472975641489029","0.03472975641489029","0.03472975641489029"
"51","0.034543026238679886","0.034543026238679886","0.034543026238679886"
"52","0.0339319109916687","0.0339319109916687","0.0339319109916687"
"53","0.033575594425201416","0.033575594425201416","0.033575594425201416"
"54","0.03292674943804741","0.03292674943804741","0.03292674943804741"
"55","0.03273520618677139","0.03273520618677139","0.03273520618677139"
"56","0.032527823001146317","0.032527823001146317","0.032527823001146317"
"57","0.03214111179113388","0.03214111179113388","0.03214111179113388"
"58","0.031898606568574905","0.031898606568574905","0.031898606568574905"
"59","0.03163813427090645","0.03163813427090645","0.03163813427090645"
"60","0.031358323991298676","0.031358323991298676","0.031358323991298676"
"61","0.031154127791523933","0.031154127791523933","0.031154127791523933"
"62","0.0309466402977705","0.0309466402977705","0.0309466402977705"
"63","0.03068244829773903","0.03068244829773903","0.03068244829773903"
"64","0.030403750017285347","0.030403750017285347","0.030403750017285347"
"65","0.03014611080288887","0.03014611080288887","0.03014611080288887"
"66","0.02991890162229538","0.02991890162229538","0.02991890162229538"
"67","0.02974650450050831","0.02974650450050831","0.02974650450050831"
"68","0.02955838292837143","0.02955838292837143","0.02955838292837143"
"69","0.029238631948828697","0.029238631948828697","0.029238631948828697"
"70","0.02909046597778797","0.02909046597778797","0.02909046597778797"
"71","0.02887685038149357","0.02887685038149357","0.02887685038149357"
"72","0.028635762631893158","0.028635762631893158","0.028635762631893158"
"73","0.028597872704267502","0.028597872704267502","0.028597872704267502"
"74","0.028421813622117043","0.028421813622117043","0.028421813622117043"
"75","0.02817991003394127","0.02817991003394127","0.02817991003394127"
